Dry Years Parameters:
Month,Mean,SD,PWW,PWD
1,62.206896551724135,56.28119777615152,0.735632183908046,0.3382352941176471
2,63.276315789473685,64.89961001407683,0.6710526315789473,0.36764705882352944
3,40.86206896551724,39.557675614042715,0.6931818181818182,0.3880597014925373
4,31.25,31.43373904160617,0.559322033898305,0.3
5,35.610169491525426,34.361238022873295,0.5,0.30526315789473685
6,41.06666666666667,49.985787935170755,0.5111111111111111,0.20952380952380953
7,32.875,30.564450863321824,0.4375,0.06474820143884892
8,48.23076923076923,50.83849607283587,0.38461538461538464,0.13445378151260504
9,33.885714285714286,33.831716169405176,0.5882352941176471,0.1744186046511628
10,74.90243902439025,86.01515159041612,0.5121951219512195,0.24096385542168675
11,53.06666666666667,57.68274729651189,0.6,0.24
12,48.08474576271186,47.80839811196356,0.6779661016949152,0.2923076923076923

All Years Parameters:
Month,Mean,SD,PWW,PWD
1,78.09764542936288,82.3337121127734,0.7671517671517671,0.3569915254237288
2,64.57868852459016,69.29966412956897,0.7352459016393442,0.3378661087866109
3,57.297482837528605,58.32908506123772,0.694359756097561,0.37209302325581395
4,47.584320875113946,49.97773271897762,0.6122262773722628,0.3511953833470734
5,41.864285714285714,44.32509322488402,0.5457788347205708,0.24644243208279432
6,41.11764705882353,45.64177648278771,0.5222381635581061,0.20670391061452514
7,36.32142857142857,40.24341217320646,0.3956043956043956,0.10874938210578348
8,44.96629213483146,51.65119627701907,0.4696629213483146,0.12215320910973085
9,52.029761904761905,58.22340040969287,0.5505952380952381,0.1879278158058494
10,69.19533527696792,75.74639122645223,0.6171039844509232,0.29691032403918616
11,86.64787701317717,91.04804835147131,0.7267399267399267,0.4087431693989071
12,78.4584487534626,84.04998915226282,0.726643598615917,0.43392070484581496

Wet Years Parameters:
Month,Mean,SD,PWW,PWD
1,91.0,98.19450566391123,0.8363636363636363,0.4222222222222222
2,90.6547619047619,98.57598156705825,0.8235294117647058,0.24561403508771928
3,80.1978021978022,89.97504669387104,0.6703296703296703,0.46875
4,54.554054054054056,58.16330951255842,0.5135135135135135,0.47368421052631576
5,47.10909090909091,54.91259887710704,0.4727272727272727,0.29
6,34.62,41.3935105056752,0.5,0.25
7,46.59090909090909,47.13455776156274,0.4090909090909091,0.09774436090225563
8,68.1219512195122,83.72168304881511,0.6,0.14782608695652175
9,60.12244897959184,71.53210724194439,0.6,0.19
10,82.48275862068965,79.9872362650579,0.7325581395348837,0.34782608695652173
11,79.8989898989899,79.1986053987656,0.75,0.48
12,86.86915887850468,86.01107501716693,0.7102803738317757,0.6458333333333334

